,date,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°)
68,2016-03-09,11.15,0.0,0.0,13.25,0.0,2.38,39.25,7.49,185.58
69,2016-03-10,16.09,0.0,0.0,38.21,0.25,40.62,45.29,10.35,240.5
70,2016-03-11,14.68,0.14,0.14,66.79,27.79,48.62,87.75,10.92,301.71
71,2016-03-12,8.85,0.0,0.0,29.33,5.83,7.62,67.54,8.6,189.42
72,2016-03-13,11.76,0.0,0.0,49.5,0.0,38.21,88.33,9.08,205.17
73,2016-03-14,8.27,0.19,0.19,95.29,51.21,98.79,59.08,16.5,91.38
74,2016-03-15,8.65,0.01,0.01,96.25,94.04,25.21,46.08,16.7,105.46
75,2016-03-16,10.11,0.0,0.0,48.17,36.75,8.08,47.92,4.92,210.04
76,2016-03-17,9.88,0.04,0.04,41.33,21.08,34.17,10.33,9.17,198.17
77,2016-03-18,10.42,0.0,0.0,15.75,0.12,23.54,4.71,17.33,277.12
78,2016-03-19,5.89,0.0,0.0,41.96,0.17,43.67,51.92,7.88,301.29
79,2016-03-20,3.39,0.01,0.0,49.46,11.04,62.96,11.17,12.64,54.62
80,2016-03-21,4.08,0.21,0.03,51.54,10.96,65.5,10.33,12.66,226.42
81,2016-03-22,6.1,0.0,0.0,10.5,0.96,12.58,6.75,15.66,265.83
82,2016-03-23,12.1,0.0,0.0,47.83,0.0,51.54,56.21,13.98,228.58
83,2016-03-24,9.3,0.0,0.0,41.08,22.54,2.04,66.25,14.62,99.12
84,2016-03-25,13.15,0.16,0.16,71.33,27.67,44.38,71.42,13.02,193.67
85,2016-03-26,7.88,0.0,0.0,35.08,28.58,4.21,22.62,12.64,184.92
86,2016-03-27,7.04,0.0,0.0,87.5,82.92,2.29,60.08,8.84,121.38
87,2016-03-28,8.91,0.12,0.12,95.17,92.54,65.54,63.38,12.91,142.04
88,2016-03-29,9.63,0.0,0.0,21.75,22.21,13.67,0.0,26.76,295.71
89,2016-03-30,6.99,0.0,0.0,3.96,0.0,0.0,13.0,11.82,253.0
90,2016-03-31,13.38,0.0,0.0,33.79,12.38,2.0,72.58,20.02,203.25
91,2016-04-01,18.15,0.06,0.06,74.21,39.46,44.25,79.08,17.36,202.5
92,2016-04-02,12.99,0.39,0.39,75.04,10.17,79.67,63.54,9.03,186.88
93,2016-04-03,5.52,0.2,0.18,48.33,17.88,57.08,10.75,25.44,270.46
94,2016-04-04,5.01,0.52,0.5,75.08,25.58,88.96,59.71,8.91,119.25
95,2016-04-05,1.0,0.08,0.06,35.38,31.38,16.42,6.83,19.98,193.67
